	sample	condition	barcode	seq
samp:HUES64_rep1__barc:10__seq:human	1	HUES64	10	human
samp:HUES64_rep1__barc:10__seq:mouse	1	HUES64	10	mouse
samp:HUES64_rep1__barc:11__seq:human	1	HUES64	11	human
samp:HUES64_rep1__barc:11__seq:mouse	1	HUES64	11	mouse
samp:HUES64_rep1__barc:12__seq:human	1	HUES64	12	human
samp:HUES64_rep1__barc:12__seq:mouse	1	HUES64	12	mouse
samp:HUES64_rep1__barc:13__seq:human	1	HUES64	13	human
samp:HUES64_rep1__barc:13__seq:mouse	1	HUES64	13	mouse
samp:HUES64_rep1__barc:1__seq:human	1	HUES64	1	human
samp:HUES64_rep1__barc:1__seq:mouse	1	HUES64	1	mouse
samp:HUES64_rep1__barc:2__seq:human	1	HUES64	2	human
samp:HUES64_rep1__barc:2__seq:mouse	1	HUES64	2	mouse
samp:HUES64_rep1__barc:3__seq:human	1	HUES64	3	human
samp:HUES64_rep1__barc:3__seq:mouse	1	HUES64	3	mouse
samp:HUES64_rep1__barc:4__seq:human	1	HUES64	4	human
samp:HUES64_rep1__barc:4__seq:mouse	1	HUES64	4	mouse
samp:HUES64_rep1__barc:5__seq:human	1	HUES64	5	human
samp:HUES64_rep1__barc:5__seq:mouse	1	HUES64	5	mouse
samp:HUES64_rep1__barc:6__seq:human	1	HUES64	6	human
samp:HUES64_rep1__barc:6__seq:mouse	1	HUES64	6	mouse
samp:HUES64_rep1__barc:7__seq:human	1	HUES64	7	human
samp:HUES64_rep1__barc:7__seq:mouse	1	HUES64	7	mouse
samp:HUES64_rep1__barc:8__seq:human	1	HUES64	8	human
samp:HUES64_rep1__barc:8__seq:mouse	1	HUES64	8	mouse
samp:HUES64_rep1__barc:9__seq:human	1	HUES64	9	human
samp:HUES64_rep1__barc:9__seq:mouse	1	HUES64	9	mouse
samp:HUES64_rep2__barc:10__seq:human	2	HUES64	10	human
samp:HUES64_rep2__barc:10__seq:mouse	2	HUES64	10	mouse
samp:HUES64_rep2__barc:11__seq:human	2	HUES64	11	human
samp:HUES64_rep2__barc:11__seq:mouse	2	HUES64	11	mouse
samp:HUES64_rep2__barc:12__seq:human	2	HUES64	12	human
samp:HUES64_rep2__barc:12__seq:mouse	2	HUES64	12	mouse
samp:HUES64_rep2__barc:13__seq:human	2	HUES64	13	human
samp:HUES64_rep2__barc:13__seq:mouse	2	HUES64	13	mouse
samp:HUES64_rep2__barc:1__seq:human	2	HUES64	1	human
samp:HUES64_rep2__barc:1__seq:mouse	2	HUES64	1	mouse
samp:HUES64_rep2__barc:2__seq:human	2	HUES64	2	human
samp:HUES64_rep2__barc:2__seq:mouse	2	HUES64	2	mouse
samp:HUES64_rep2__barc:3__seq:human	2	HUES64	3	human
samp:HUES64_rep2__barc:3__seq:mouse	2	HUES64	3	mouse
samp:HUES64_rep2__barc:4__seq:human	2	HUES64	4	human
samp:HUES64_rep2__barc:4__seq:mouse	2	HUES64	4	mouse
samp:HUES64_rep2__barc:5__seq:human	2	HUES64	5	human
samp:HUES64_rep2__barc:5__seq:mouse	2	HUES64	5	mouse
samp:HUES64_rep2__barc:6__seq:human	2	HUES64	6	human
samp:HUES64_rep2__barc:6__seq:mouse	2	HUES64	6	mouse
samp:HUES64_rep2__barc:7__seq:human	2	HUES64	7	human
samp:HUES64_rep2__barc:7__seq:mouse	2	HUES64	7	mouse
samp:HUES64_rep2__barc:8__seq:human	2	HUES64	8	human
samp:HUES64_rep2__barc:8__seq:mouse	2	HUES64	8	mouse
samp:HUES64_rep2__barc:9__seq:human	2	HUES64	9	human
samp:HUES64_rep2__barc:9__seq:mouse	2	HUES64	9	mouse
