	sample	condition	barcode	seq
samp:dna_1__barc:10__seq:human	1	dna	10	human
samp:dna_1__barc:10__seq:mouse	1	dna	10	mouse
samp:dna_1__barc:11__seq:human	1	dna	11	human
samp:dna_1__barc:11__seq:mouse	1	dna	11	mouse
samp:dna_1__barc:12__seq:human	1	dna	12	human
samp:dna_1__barc:12__seq:mouse	1	dna	12	mouse
samp:dna_1__barc:13__seq:human	1	dna	13	human
samp:dna_1__barc:13__seq:mouse	1	dna	13	mouse
samp:dna_1__barc:1__seq:human	1	dna	1	human
samp:dna_1__barc:1__seq:mouse	1	dna	1	mouse
samp:dna_1__barc:2__seq:human	1	dna	2	human
samp:dna_1__barc:2__seq:mouse	1	dna	2	mouse
samp:dna_1__barc:3__seq:human	1	dna	3	human
samp:dna_1__barc:3__seq:mouse	1	dna	3	mouse
samp:dna_1__barc:4__seq:human	1	dna	4	human
samp:dna_1__barc:4__seq:mouse	1	dna	4	mouse
samp:dna_1__barc:5__seq:human	1	dna	5	human
samp:dna_1__barc:5__seq:mouse	1	dna	5	mouse
samp:dna_1__barc:6__seq:human	1	dna	6	human
samp:dna_1__barc:6__seq:mouse	1	dna	6	mouse
samp:dna_1__barc:7__seq:human	1	dna	7	human
samp:dna_1__barc:7__seq:mouse	1	dna	7	mouse
samp:dna_1__barc:8__seq:human	1	dna	8	human
samp:dna_1__barc:8__seq:mouse	1	dna	8	mouse
samp:dna_1__barc:9__seq:human	1	dna	9	human
samp:dna_1__barc:9__seq:mouse	1	dna	9	mouse
