	sample	condition	barcode	seq
samp:HUES64_rep1__barc:10__seq:human	1	HUES64	10	human
samp:HUES64_rep1__barc:11__seq:human	1	HUES64	11	human
samp:HUES64_rep1__barc:12__seq:human	1	HUES64	12	human
samp:HUES64_rep1__barc:13__seq:human	1	HUES64	13	human
samp:HUES64_rep1__barc:1__seq:human	1	HUES64	1	human
samp:HUES64_rep1__barc:2__seq:human	1	HUES64	2	human
samp:HUES64_rep1__barc:3__seq:human	1	HUES64	3	human
samp:HUES64_rep1__barc:4__seq:human	1	HUES64	4	human
samp:HUES64_rep1__barc:5__seq:human	1	HUES64	5	human
samp:HUES64_rep1__barc:6__seq:human	1	HUES64	6	human
samp:HUES64_rep1__barc:7__seq:human	1	HUES64	7	human
samp:HUES64_rep1__barc:8__seq:human	1	HUES64	8	human
samp:HUES64_rep1__barc:9__seq:human	1	HUES64	9	human
samp:HUES64_rep2__barc:10__seq:human	2	HUES64	10	human
samp:HUES64_rep2__barc:11__seq:human	2	HUES64	11	human
samp:HUES64_rep2__barc:12__seq:human	2	HUES64	12	human
samp:HUES64_rep2__barc:13__seq:human	2	HUES64	13	human
samp:HUES64_rep2__barc:1__seq:human	2	HUES64	1	human
samp:HUES64_rep2__barc:2__seq:human	2	HUES64	2	human
samp:HUES64_rep2__barc:3__seq:human	2	HUES64	3	human
samp:HUES64_rep2__barc:4__seq:human	2	HUES64	4	human
samp:HUES64_rep2__barc:5__seq:human	2	HUES64	5	human
samp:HUES64_rep2__barc:6__seq:human	2	HUES64	6	human
samp:HUES64_rep2__barc:7__seq:human	2	HUES64	7	human
samp:HUES64_rep2__barc:8__seq:human	2	HUES64	8	human
samp:HUES64_rep2__barc:9__seq:human	2	HUES64	9	human
samp:mESC_rep1__barc:10__seq:human	1	mESC	10	human
samp:mESC_rep1__barc:11__seq:human	1	mESC	11	human
samp:mESC_rep1__barc:12__seq:human	1	mESC	12	human
samp:mESC_rep1__barc:13__seq:human	1	mESC	13	human
samp:mESC_rep1__barc:1__seq:human	1	mESC	1	human
samp:mESC_rep1__barc:2__seq:human	1	mESC	2	human
samp:mESC_rep1__barc:3__seq:human	1	mESC	3	human
samp:mESC_rep1__barc:4__seq:human	1	mESC	4	human
samp:mESC_rep1__barc:5__seq:human	1	mESC	5	human
samp:mESC_rep1__barc:6__seq:human	1	mESC	6	human
samp:mESC_rep1__barc:7__seq:human	1	mESC	7	human
samp:mESC_rep1__barc:8__seq:human	1	mESC	8	human
samp:mESC_rep1__barc:9__seq:human	1	mESC	9	human
