	sample	condition	barcode	seq
samp:mESC_rep1__barc:10__seq:human	1	mESC	10	human
samp:mESC_rep1__barc:10__seq:mouse	1	mESC	10	mouse
samp:mESC_rep1__barc:11__seq:human	1	mESC	11	human
samp:mESC_rep1__barc:11__seq:mouse	1	mESC	11	mouse
samp:mESC_rep1__barc:12__seq:human	1	mESC	12	human
samp:mESC_rep1__barc:12__seq:mouse	1	mESC	12	mouse
samp:mESC_rep1__barc:13__seq:human	1	mESC	13	human
samp:mESC_rep1__barc:13__seq:mouse	1	mESC	13	mouse
samp:mESC_rep1__barc:1__seq:human	1	mESC	1	human
samp:mESC_rep1__barc:1__seq:mouse	1	mESC	1	mouse
samp:mESC_rep1__barc:2__seq:human	1	mESC	2	human
samp:mESC_rep1__barc:2__seq:mouse	1	mESC	2	mouse
samp:mESC_rep1__barc:3__seq:human	1	mESC	3	human
samp:mESC_rep1__barc:3__seq:mouse	1	mESC	3	mouse
samp:mESC_rep1__barc:4__seq:human	1	mESC	4	human
samp:mESC_rep1__barc:4__seq:mouse	1	mESC	4	mouse
samp:mESC_rep1__barc:5__seq:human	1	mESC	5	human
samp:mESC_rep1__barc:5__seq:mouse	1	mESC	5	mouse
samp:mESC_rep1__barc:6__seq:human	1	mESC	6	human
samp:mESC_rep1__barc:6__seq:mouse	1	mESC	6	mouse
samp:mESC_rep1__barc:7__seq:human	1	mESC	7	human
samp:mESC_rep1__barc:7__seq:mouse	1	mESC	7	mouse
samp:mESC_rep1__barc:8__seq:human	1	mESC	8	human
samp:mESC_rep1__barc:8__seq:mouse	1	mESC	8	mouse
samp:mESC_rep1__barc:9__seq:human	1	mESC	9	human
samp:mESC_rep1__barc:9__seq:mouse	1	mESC	9	mouse
