	sample	condition	barcode
samp:HUES64_rep1__barc:1	rep1	HUES64	1
samp:HUES64_rep1__barc:10	rep1	HUES64	10
samp:HUES64_rep1__barc:11	rep1	HUES64	11
samp:HUES64_rep1__barc:12	rep1	HUES64	12
samp:HUES64_rep1__barc:13	rep1	HUES64	13
samp:HUES64_rep1__barc:2	rep1	HUES64	2
samp:HUES64_rep1__barc:3	rep1	HUES64	3
samp:HUES64_rep1__barc:4	rep1	HUES64	4
samp:HUES64_rep1__barc:5	rep1	HUES64	5
samp:HUES64_rep1__barc:6	rep1	HUES64	6
samp:HUES64_rep1__barc:7	rep1	HUES64	7
samp:HUES64_rep1__barc:8	rep1	HUES64	8
samp:HUES64_rep1__barc:9	rep1	HUES64	9
samp:HUES64_rep2__barc:1	rep2	HUES64	1
samp:HUES64_rep2__barc:10	rep2	HUES64	10
samp:HUES64_rep2__barc:11	rep2	HUES64	11
samp:HUES64_rep2__barc:12	rep2	HUES64	12
samp:HUES64_rep2__barc:13	rep2	HUES64	13
samp:HUES64_rep2__barc:2	rep2	HUES64	2
samp:HUES64_rep2__barc:3	rep2	HUES64	3
samp:HUES64_rep2__barc:4	rep2	HUES64	4
samp:HUES64_rep2__barc:5	rep2	HUES64	5
samp:HUES64_rep2__barc:6	rep2	HUES64	6
samp:HUES64_rep2__barc:7	rep2	HUES64	7
samp:HUES64_rep2__barc:8	rep2	HUES64	8
samp:HUES64_rep2__barc:9	rep2	HUES64	9
samp:mESC_rep1__barc:1	rep1	mESC	1
samp:mESC_rep1__barc:10	rep1	mESC	10
samp:mESC_rep1__barc:11	rep1	mESC	11
samp:mESC_rep1__barc:12	rep1	mESC	12
samp:mESC_rep1__barc:13	rep1	mESC	13
samp:mESC_rep1__barc:2	rep1	mESC	2
samp:mESC_rep1__barc:3	rep1	mESC	3
samp:mESC_rep1__barc:4	rep1	mESC	4
samp:mESC_rep1__barc:5	rep1	mESC	5
samp:mESC_rep1__barc:6	rep1	mESC	6
samp:mESC_rep1__barc:7	rep1	mESC	7
samp:mESC_rep1__barc:8	rep1	mESC	8
samp:mESC_rep1__barc:9	rep1	mESC	9
