gene_id_human	gene_name_human	gene_id_mouse	gene_name_mouse	mean_tpm_mouse
ENSG00000197921	HES5	ENSMUSG00000048001	Hes5	0.0
ENSG00000069812	HES2	ENSMUSG00000028940	Hes2	11.737072389258254
ENSG00000074800	ENO1	ENSMUSG00000059040	Eno1b	1312.1603409654265
ENSG00000074800	ENO1	ENSMUSG00000063524	Eno1	73990.52146250177
ENSG00000009709	PAX7	ENSMUSG00000028736	Pax7	8.37221096853734
ENSG00000007968	E2F2	ENSMUSG00000018983	E2f2	737.4783035328245
ENSG00000020633	RUNX3	ENSMUSG00000070691	Runx3	41.45226341656683
ENSG00000162419	GMEB1	ENSMUSG00000028901	Gmeb1	3377.2940746416534
ENSG00000116478	HDAC1	ENSMUSG00000028800	Hdac1	16629.316833813267
ENSG00000188786	MTF1	ENSMUSG00000028890	Mtf1	2381.2585475231035
ENSG00000066136	NFYC	ENSMUSG00000032897	Nfyc	3476.789418480123
ENSG00000198815	FOXJ3	ENSMUSG00000032998	Foxj3	4155.833914632321
ENSG00000164011	ZNF691	ENSMUSG00000045268	Zfp691	348.1957073856693
ENSG00000142700	DMRTA2	ENSMUSG00000047143	Dmrta2	64.88895265459253
ENSG00000174332	GLIS1	ENSMUSG00000034762	Glis1	20.386267535628033
ENSG00000162613	FUBP1	ENSMUSG00000028034	Fubp1	22147.9189985414
ENSG00000137947	GTF2B	ENSMUSG00000028271	Gtf2b	1876.2375825957233
ENSG00000162676	GFI1	ENSMUSG00000029275	Gfi1	4.6590241684352405
ENSG00000092607	TBX15	ENSMUSG00000027868	Tbx15	107.31970259083808
ENSG00000143067	ZNF697	ENSMUSG00000050064	Zfp697	31.791915451933267
ENSG00000143437	ARNT	ENSMUSG00000015522	Arnt	7512.233705514326
ENSG00000143379	SETDB1	ENSMUSG00000015697	Setdb1	11101.716602454266
ENSG00000160685	ZBTB7B	ENSMUSG00000028042	Zbtb7b	2447.979635851337
ENSG00000171786	NHLH1	ENSMUSG00000051251	Nhlh1	0.7498931984333734
ENSG00000143257	NR1I3	ENSMUSG00000005677	Nr1i3	2.0295485707264533
ENSG00000118217	ATF6	ENSMUSG00000026663	Atf6	3534.944943123923
ENSG00000143171	RXRG	ENSMUSG00000015843	Rxrg	1.4997863968667469
ENSG00000143190	POU2F1	ENSMUSG00000026565	Pou2f1	6057.837003133766
ENSG00000143178	TBX19	ENSMUSG00000026572	Tbx19	0.0
ENSG00000116833	NR5A2	ENSMUSG00000026398	Nr5a2	8843.017838217653
ENSG00000162702	ZNF281	ENSMUSG00000041483	Zfp281	8932.64272883844
ENSG00000117595	IRF6	ENSMUSG00000026638	Irf6	436.23813299817135
ENSG00000162772	ATF3	ENSMUSG00000026628	Atf3	294.90357908239935
ENSG00000123685	BATF3	ENSMUSG00000026630	Batf3	5.585504758155181
ENSG00000117707	PROX1	ENSMUSG00000010175	Prox1	61.14431673848637
ENSG00000136630	HLX	ENSMUSG00000039377	Hlx	9.059203755070426
ENSG00000185155	MIXL1	ENSMUSG00000026497	Mixl1	19.9109241498655
ENSG00000143799	PARP1	ENSMUSG00000026496	Parp1	58560.641739243205
ENSG00000115738	ID2	ENSMUSG00000020644	Id2	598.0775488135437
ENSG00000134317	GRHL1	ENSMUSG00000020656	Grhl1	197.565909288609
ENSG00000169016	E2F6	ENSMUSG00000057469	E2f6	1587.2133481618002
ENSG00000143867	OSR1	ENSMUSG00000048387	Osr1	0.3749465992166867
ENSG00000115207	GTF3C2	ENSMUSG00000101678	Gm29609	14.537109626635553
ENSG00000115207	GTF3C2	ENSMUSG00000106864	Gtf3c2	3513.5236002474135
ENSG00000075426	FOSL2	ENSMUSG00000029135	Fosl2	79.66548774323677
ENSG00000115816	CEBPZ	ENSMUSG00000024081	Cebpz	12979.830488060601
ENSG00000138083	SIX3	ENSMUSG00000038805	Six3	4.824736404911756
ENSG00000119866	BCL11A	ENSMUSG00000000861	Bcl11a	74.42222027166652
ENSG00000162924	REL	ENSMUSG00000020275	Rel	584.0412296239723
ENSG00000183733	FIGLA	ENSMUSG00000030001	Figla	0.0
ENSG00000116035	VAX2	ENSMUSG00000034777	Vax2	316.756904375131
ENSG00000135638	EMX1	ENSMUSG00000033726	Emx1	7.034504587535939
ENSG00000214513	NOTO	ENSMUSG00000068302	Noto	0.0
ENSG00000168874	ATOH8	ENSMUSG00000037621	Atoh8	3.51482759217198
ENSG00000275111	ZNF2	ENSMUSG00000034800	Zfp661	604.145680725815
ENSG00000170485	NPAS2	ENSMUSG00000026077	Npas2	23.905944530992002
ENSG00000163064	EN1	ENSMUSG00000058665	En1	60.18995473230319
ENSG00000074047	GLI2	ENSMUSG00000048402	Gli2	6831.80947108907
ENSG00000115112	TFCP2L1	ENSMUSG00000026380	Tfcp2l1	88671.36724170782
ENSG00000082258	CCNT2	ENSMUSG00000026349	Ccnt2	12409.765763331634
ENSG00000115966	ATF2	ENSMUSG00000027104	Atf2	5373.5214372882365
ENSG00000116044	NFE2L2	ENSMUSG00000015839	Nfe2l2	9192.285955576512
ENSG00000115415	STAT1	ENSMUSG00000026104	Stat1	433.8506182230737
ENSG00000138378	STAT4	ENSMUSG00000062939	Stat4	324.30905729211236
ENSG00000119042	SATB2	ENSMUSG00000038331	Satb2	462.0757260196837
ENSG00000030419	IKZF2	ENSMUSG00000025997	Ikzf2	96.97958326684714
ENSG00000177463	NR2C2	ENSMUSG00000005893	Nr2c2	2534.0067493967967
ENSG00000077092	RARB	ENSMUSG00000017491	Rarb	2.5810825612297066
ENSG00000168036	CTNNB1	ENSMUSG00000006932	Ctnnb1	40980.65611923629
ENSG00000114853	ZBTB47	ENSMUSG00000013419	Zfp651	294.372558891804
ENSG00000169981	ZNF35	ENSMUSG00000057895	Zfp105	1441.33593661608
ENSG00000012223	LTF	ENSMUSG00000032496	Ltf	0.0
ENSG00000163666	HESX1	ENSMUSG00000040726	Hesx1	1638.2826652744268
ENSG00000064835	POU1F1	ENSMUSG00000004842	Pou1f1	51.08361813738143
ENSG00000066422	ZBTB11	ENSMUSG00000022601	Zbtb11	3672.1363510814804
ENSG00000114439	BBX	ENSMUSG00000022641	Bbx	2230.95125806684
ENSG00000144852	NR1I2	ENSMUSG00000022809	Nr1i2	3.676907608037333
ENSG00000163884	KLF15	ENSMUSG00000030087	Klf15	696.5231790055794
ENSG00000179348	GATA2	ENSMUSG00000015053	Gata2	323.590718564908
ENSG00000168875	SOX14	ENSMUSG00000053747	Sox14	1.4635072048019804
ENSG00000114126	TFDP2	ENSMUSG00000032411	Tfdp2	4829.24576228706
ENSG00000071794	HLTF	ENSMUSG00000002428	Hltf	4643.293825441023
ENSG00000168779	SHOX2	ENSMUSG00000027833	Shox2	25.202522316736673
ENSG00000085276	MECOM	ENSMUSG00000027684	Mecom	30.298154806684597
ENSG00000113916	BCL6	ENSMUSG00000022508	Bcl6	353.6589166783867
ENSG00000073282	TP63	ENSMUSG00000022510	Trp63	0.7136140063686067
ENSG00000114315	HES1	ENSMUSG00000022528	Hes1	2528.0768675455465
ENSG00000168826	ZBTB49	ENSMUSG00000029127	Zbtb49	524.3036055912913
ENSG00000109705	NKX3-2	ENSMUSG00000049691	Nkx3-2	0.3749465992166867
ENSG00000168214	RBPJ	ENSMUSG00000039191	Rbpj	15934.209668204901
ENSG00000134852	CLOCK	ENSMUSG00000029238	Clock	4122.260776936483
ENSG00000084093	REST	ENSMUSG00000029249	Rest	32992.967460398904
ENSG00000189308	LIN54	ENSMUSG00000035310	Lin54	3000.860266005077
ENSG00000172238	ATOH1	ENSMUSG00000073043	Atoh1	2.588347002452037
ENSG00000109320	NFKB1	ENSMUSG00000028163	Nfkb1	2386.455396248197
ENSG00000168310	IRF2	ENSMUSG00000031627	Irf2	6.0233517692721605
ENSG00000063438	AHRR	ENSMUSG00000021575	Ahrr	71.14329127611717
ENSG00000113430	IRX4	ENSMUSG00000021604	Irx4	8.222244797086288
ENSG00000016082	ISL1	ENSMUSG00000042258	Isl1	120.25291296524834
ENSG00000164299	SPZ1	ENSMUSG00000046957	Spz1	0.0
ENSG00000125347	IRF1	ENSMUSG00000018899	Irf1	1869.5225304663236
ENSG00000081059	TCF7	ENSMUSG00000000782	Tcf7	3428.3569124671735
ENSG00000069011	PITX1	ENSMUSG00000021506	Pitx1	19.908509111835134
ENSG00000113658	SMAD5	ENSMUSG00000021540	Smad5	3186.636701420377
ENSG00000120738	EGR1	ENSMUSG00000038418	Egr1	34.01742969958297
ENSG00000185129	PURA	ENSMUSG00000043991	Pura	2063.6173256723437
ENSG00000091010	POU4F3	ENSMUSG00000024497	Pou4f3	8.482265727312432
ENSG00000113722	CDX1	ENSMUSG00000024619	Cdx1	96.6990077025582
ENSG00000113196	HAND1	ENSMUSG00000037335	Hand1	4.269570193797333
ENSG00000039600	SOX30	ENSMUSG00000040489	Sox30	17.825718101437634
ENSG00000164330	EBF1	ENSMUSG00000057098	Ebf1	789.321391172559
ENSG00000120149	MSX2	ENSMUSG00000021469	Msx2	20.9885880936173
ENSG00000175325	PROP1	ENSMUSG00000044542	Prop1	0.0
ENSG00000177932	ZNF354C	ENSMUSG00000044807	Zfp354c	1123.05502687482
ENSG00000137265	IRF4	ENSMUSG00000021356	Irf4	0.7498931984333734
ENSG00000054598	FOXC1	ENSMUSG00000050295	Foxc1	4.264720790605353
ENSG00000124782	RREB1	ENSMUSG00000039087	Rreb1	4643.252567803623
ENSG00000137203	TFAP2A	ENSMUSG00000021359	Tfap2a	90.03338312846616
ENSG00000124827	GCM2	ENSMUSG00000021362	Gcm2	0.0
ENSG00000112242	E2F3	ENSMUSG00000016477	E2f3	3883.9993532375197
ENSG00000124766	SOX4	ENSMUSG00000076431	Sox4	238.388116920103
ENSG00000187626	ZKSCAN4	ENSMUSG00000054931	Zkscan4	56.080071023364326
ENSG00000187626	ZKSCAN4	ENSMUSG00000021327	Zkscan3	2008.5806760318399
ENSG00000204531	POU5F1	ENSMUSG00000024406	Pou5f1	48396.5513027682
ENSG00000204366	ZBTB12	ENSMUSG00000049823	Zbtb12	2097.5208168479335
ENSG00000137309	HMGA1	ENSMUSG00000046711	Hmga1	20578.65268988443
ENSG00000124664	SPDEF	ENSMUSG00000024215	Spdef	5.688316582731403
ENSG00000065029	ZNF76	ENSMUSG00000024220	Zfp523	593.5250310314736
ENSG00000112033	PPARD	ENSMUSG00000002250	Ppard	1865.12461972834
ENSG00000007866	TEAD3	ENSMUSG00000002249	Tead3	224.65759030854102
ENSG00000001167	NFYA	ENSMUSG00000023994	Nfya	5240.120514203097
ENSG00000112658	SRF	ENSMUSG00000015605	Srf	2130.034890271216
ENSG00000096401	CDC5L	ENSMUSG00000023932	Cdc5l	19111.499308423736
ENSG00000008196	TFAP2B	ENSMUSG00000025927	Tfap2b	0.7498931984333734
ENSG00000118418	HMGN3	ENSMUSG00000066456	Hmgn3	40.94788377293843
ENSG00000112182	BACH2	ENSMUSG00000040270	Bach2	168.89088365051433
ENSG00000184486	POU3F2	ENSMUSG00000095139	Pou3f2	50.25623330342494
ENSG00000112246	SIM1	ENSMUSG00000019913	Sim1	2.3899877945219234
ENSG00000057657	PRDM1	ENSMUSG00000038151	Prdm1	1490.1479593320335
ENSG00000112333	NR2E1	ENSMUSG00000019803	Nr2e1	1.4780145802231965
ENSG00000118689	FOXO3	ENSMUSG00000048756	Foxo3	6876.777358151387
ENSG00000196591	HDAC2	ENSMUSG00000019777	Hdac2	17304.579363483066
ENSG00000025156	HSF2	ENSMUSG00000019878	Hsf2	5167.20231256567
ENSG00000135547	HEY2	ENSMUSG00000019789	Hey2	77.3045146995573
ENSG00000118526	TCF21	ENSMUSG00000045680	Tcf21	0.0
ENSG00000118513	MYB	ENSMUSG00000019982	Myb	920.3668595166463
ENSG00000029363	BCLAF1	ENSMUSG00000037608	Bclaf1	27777.875449765834
ENSG00000010818	HIVEP2	ENSMUSG00000015501	Hivep2	122.903046372353
ENSG00000118495	PLAGL1	ENSMUSG00000019817	Plagl1	2241.7910344935167
ENSG00000091831	ESR1	ENSMUSG00000019768	Esr1	10.012305564625867
ENSG00000112592	TBP	ENSMUSG00000014767	Tbp	3409.6059932997764
ENSG00000205903	ZNF316	ENSMUSG00000046658	Zfp316	74.87218112719783
ENSG00000006468	ETV1	ENSMUSG00000004151	Etv1	1142.50124621648
ENSG00000122691	TWIST1	ENSMUSG00000035799	Twist1	100.69879581856746
ENSG00000146618	FERD3L	ENSMUSG00000046518	Ferd3l	0.0
ENSG00000105866	SP4	ENSMUSG00000025323	Sp4	759.6280944643582
ENSG00000050344	NFE2L3	ENSMUSG00000029832	Nfe2l3	136.72402377925667
ENSG00000105991	HOXA1	ENSMUSG00000029844	Hoxa1	41.2490763124682
ENSG00000105996	HOXA2	ENSMUSG00000014704	Hoxa2	0.0
ENSG00000105997	HOXA3	ENSMUSG00000079560	Hoxa3	5.4573104033476865
ENSG00000106006	HOXA6	ENSMUSG00000043219	Hoxa6	0.35680700318430336
ENSG00000078399	HOXA9	ENSMUSG00000038227	Hoxa9	2.209768182624187
ENSG00000005073	HOXA11	ENSMUSG00000038210	Hoxa11	2.015041195305237
ENSG00000106031	HOXA13	ENSMUSG00000038203	Hoxa13	9.155968321005137
ENSG00000106038	EVX1	ENSMUSG00000005503	Evx1	61.69942060842263
ENSG00000164532	TBX20	ENSMUSG00000031965	Tbx20	461.2869085535737
ENSG00000106536	POU6F2	ENSMUSG00000009734	Pou6f2	14.314522729876833
ENSG00000009950	MLXIPL	ENSMUSG00000005373	Mlxipl	42.02802509589873
ENSG00000006704	GTF2IRD1	ENSMUSG00000023079	Gtf2ird1	4514.794768842986
ENSG00000263001	GTF2I	ENSMUSG00000060261	Gtf2i	10592.6025790101
ENSG00000006377	DLX6	ENSMUSG00000029754	Dlx6	6.339030177199716
ENSG00000180535	BHLHA15	ENSMUSG00000052271	Bhlha15	72.32368319624352
ENSG00000106261	ZKSCAN1	ENSMUSG00000029729	Zkscan1	1904.3717215404401
ENSG00000105856	HBP1	ENSMUSG00000002996	Hbp1	2267.5447834546467
ENSG00000128610	FEZF1	ENSMUSG00000029697	Fezf1	2.3682159778783736
ENSG00000106331	PAX4	ENSMUSG00000029706	Pax4	0.0
ENSG00000128604	IRF5	ENSMUSG00000029771	Irf5	8.056532560609773
ENSG00000106459	NRF1	ENSMUSG00000058440	Nrf1	4900.092807062497
ENSG00000182158	CREB3L2	ENSMUSG00000038648	Creb3l2	1450.7979727466166
ENSG00000106410	NOBOX	ENSMUSG00000029736	Nobox	5.45367818273652
ENSG00000170265	ZNF282	ENSMUSG00000025821	Zfp282	607.0728391449064
ENSG00000181444	ZNF467	ENSMUSG00000068551	Zfp467	48.68149499142174
ENSG00000164900	GBX1	ENSMUSG00000067724	Gbx1	73.07004734939864
ENSG00000130675	MNX1	ENSMUSG00000001566	Mnx1	38.647439117175765
ENSG00000171056	SOX7	ENSMUSG00000063060	Sox7	527.2367897620011
ENSG00000221818	EBF2	ENSMUSG00000022053	Ebf2	15.406715556073266
ENSG00000147421	HMBOX1	ENSMUSG00000021972	Hmbox1	1855.08072103822
ENSG00000131931	THAP1	ENSMUSG00000037214	Thap1	741.196421404428
ENSG00000019549	SNAI2	ENSMUSG00000022676	Snai2	45.03477848265294
ENSG00000164736	SOX17	ENSMUSG00000025902	Sox17	18.841720322893398
ENSG00000181690	PLAG1	ENSMUSG00000003282	Plag1	669.468953526138
ENSG00000133740	E2F5	ENSMUSG00000027552	E2f5	2250.0713711334633
ENSG00000164920	OSR2	ENSMUSG00000022330	Osr2	94.09248026991911
ENSG00000164754	RAD21	ENSMUSG00000022314	Rad21	27313.525995351603
ENSG00000165156	ZHX1	ENSMUSG00000022361	Zhx1	716.4521589032753
ENSG00000136997	MYC	ENSMUSG00000022346	Myc	686.6221023682627
ENSG00000261678	SCRT1	ENSMUSG00000048385	Scrt1	5.06059198748745
ENSG00000160973	FOXH1	ENSMUSG00000033837	Foxh1	3482.5831748158034
ENSG00000137090	DMRT1	ENSMUSG00000024837	Dmrt1	139.71509344216366
ENSG00000064218	DMRT3	ENSMUSG00000042372	Dmrt3	21.881204529302796
ENSG00000173253	DMRT2	ENSMUSG00000048138	Dmrt2	19.5408269538408
ENSG00000080298	RFX3	ENSMUSG00000040929	Rfx3	698.7063237884757
ENSG00000107249	GLIS3	ENSMUSG00000052942	Glis3	966.2603257598789
ENSG00000176399	DMRTA1	ENSMUSG00000043753	Dmrta1	1.1067002016176768
ENSG00000197579	TOPORS	ENSMUSG00000036822	Topors	10359.896488589067
